segment_id,lat,lon,street,mean_score,max_score,cluster
z14_x11688_y5999,43.333169,76.827393,,2.3430838323353296,3.31,1
z14_x11688_y6000,43.317185,76.827393,,1.5364071856287425,1.92,0
z14_x11688_y6002,43.285203,76.827393,,1.5103806228373702,3.5,1
z14_x11688_y6003,43.269206,76.827393,,1.5403592814371259,2.01,0
z14_x11688_y6004,43.253205,76.827393,,1.6338323353293414,2.34,0
z14_x11688_y6009,43.173135,76.827393,,1.5033532934131737,1.68,0
z14_x11689_y5999,43.333169,76.849365,,1.6581437125748504,2.2,0
z14_x11689_y6000,43.317185,76.849365,,1.504431137724551,1.96,0
z14_x11689_y6001,43.301196,76.849365,,1.5060179640718563,2.29,0
z14_x11689_y6002,43.285203,76.849365,,1.5073053892215569,2.41,0
z14_x11689_y6003,43.269206,76.849365,,1.505688622754491,2.28,0
z14_x11689_y6004,43.253205,76.849365,,1.5329640718562874,2.17,0
z14_x11689_y6005,43.237199,76.849365,,1.7527844311377243,2.05,0
z14_x11689_y6006,43.22119,76.849365,,1.5267365269461077,1.76,0
z14_x11689_y6007,43.205176,76.849365,,1.598682634730539,1.94,0
z14_x11689_y6008,43.189158,76.849365,,1.570059880239521,1.69,0
z14_x11689_y6009,43.173135,76.849365,,1.579431137724551,1.79,0
z14_x11690_y6000,43.317185,76.871338,,1.5273652694610778,1.88,0
z14_x11690_y6001,43.301196,76.871338,,1.512012012012012,3.5,1
z14_x11690_y6004,43.253205,76.871338,,1.5060975609756098,1.98,0
z14_x11690_y6005,43.237199,76.871338,,1.5430239520958084,1.69,0
z14_x11690_y6007,43.205176,76.871338,,1.5025,1.63,0
z14_x11690_y6008,43.189158,76.871338,,1.515808383233533,1.68,0
z14_x11690_y6009,43.173135,76.871338,,1.5546107784431138,1.77,0
z14_x11691_y5998,43.34915,76.893311,,1.5206849315068494,2.25,0
z14_x11691_y6000,43.317185,76.893311,,1.7658383233532933,2.07,0
z14_x11691_y6003,43.269206,76.893311,,1.504191616766467,2.09,0
z14_x11691_y6005,43.237199,76.893311,,1.5081437125748505,1.64,0
z14_x11691_y6006,43.22119,76.893311,,1.660868263473054,1.81,0
z14_x11691_y6007,43.205176,76.893311,,1.5451497005988024,1.71,0
z14_x11691_y6008,43.189158,76.893311,,1.6288554216867468,2.01,0
z14_x11691_y6009,43.173135,76.893311,,1.7376047904191618,2.35,0
z14_x11692_y5996,43.381098,76.915283,,1.5173037542662116,2.59,0
z14_x11692_y5997,43.365126,76.915283,,1.5028963414634147,1.6,0
z14_x11692_y5998,43.34915,76.915283,,1.5816766467065868,1.99,0
z14_x11692_y5999,43.333169,76.915283,,2.15562874251497,2.86,1
z14_x11692_y6000,43.317185,76.915283,,1.5605688622754492,1.64,0
z14_x11692_y6003,43.269206,76.915283,,1.506377245508982,1.74,0
z14_x11692_y6004,43.253205,76.915283,,1.548323353293413,1.7,0
z14_x11692_y6005,43.237199,76.915283,,1.5032035928143712,1.59,0
z14_x11692_y6006,43.22119,76.915283,,1.6002095808383234,1.73,0
z14_x11692_y6007,43.205176,76.915283,,1.6667365269461079,1.96,0
z14_x11692_y6008,43.189158,76.915283,,1.6299101796407185,2.04,0
z14_x11692_y6009,43.173135,76.915283,,1.6036826347305388,2.08,0
z14_x11693_y5999,43.333169,76.937256,,1.515043859649123,2.68,0
z14_x11693_y6000,43.317185,76.937256,,1.9013473053892214,2.76,1
z14_x11693_y6001,43.301196,76.937256,,1.5035849056603774,2.64,0
z14_x11693_y6002,43.285203,76.937256,,1.519876923076923,1.86,0
z14_x11693_y6003,43.269206,76.937256,,1.50188622754491,1.86,0
z14_x11693_y6004,43.253205,76.937256,,1.5774550898203592,1.94,0
z14_x11693_y6006,43.22119,76.937256,,1.5696706586826348,1.93,0
z14_x11693_y6007,43.205176,76.937256,,1.5094011976047903,1.63,0
z14_x11693_y6008,43.189158,76.937256,,1.5060179640718563,1.64,0
z14_x11693_y6009,43.173135,76.937256,,1.5225449101796409,1.76,0
z14_x11694_y6000,43.317185,76.959229,,1.5775149700598803,1.98,0
z14_x11694_y6001,43.301196,76.959229,,1.66374251497006,2.43,0
z14_x11694_y6002,43.285203,76.959229,,1.6722455089820358,2.4,0
z14_x11694_y6003,43.269206,76.959229,,1.5251197604790419,2.0,0
z14_x11694_y6004,43.253205,76.959229,,1.534131736526946,1.86,0
z14_x11694_y6005,43.237199,76.959229,,1.5172455089820358,1.7,0
z14_x11694_y6006,43.22119,76.959229,,1.5482934131736528,1.87,0
z14_x11694_y6007,43.205176,76.959229,,1.5152694610778443,1.67,0
