street,lat,lon,mean_score,max_score,segments,impact_score
проспект Аль-Фараби,43.225458966666665,76.94128406666667,1.5872962125020948,3.18,30,8.69397941029911
Северное кольцо,43.33077073333334,76.93249513333333,1.888417371299724,3.5,15,7.31380902973262
проспект Абая,43.24590864705882,76.912375,1.6072190969249793,3.35,17,6.626734100131518
Талгарский район,43.289176749999996,77.05352791666667,1.7851012145748986,3.75,12,6.183772000593273
Медеуский район,43.20178192307692,77.02641407692307,1.6148338761218903,3.06,13,5.822366341713739
улица Толе Би,43.261205999999994,76.91345199999999,1.51698987485944,2.96,12,5.255007075648206
улица Тимирязева,43.313188,76.91223144444444,1.6935897435897436,3.5,9,5.0807692307692305
Бостандыкский район,43.17942942857143,76.91763728571428,1.55643315018315,2.82,7,4.117935047681461
улица Сатпаева,43.3035948,76.9207762,1.5805299145299145,2.79,5,3.5341723293608216
улица Пензенская,43.265206,76.986694,3.2415384615384615,4.72,1,3.2415384615384615
Наурызбайский район,43.173135,76.85211174999999,1.5562393162393162,2.13,4,3.1124786324786324
улица Керей-Жанибек хандар,43.179143499999995,77.01416025,1.5462820512820512,2.13,4,3.0925641025641024
Алатауский район,43.289189,76.8273925,2.110213675213675,3.57,2,2.984292798992353
Zakarpatskaya street,43.366456666666664,77.05627433333332,1.7124667064201946,2.61,3,2.9660793417899134
проспект Райымбека,43.281204,76.93176266666666,1.5737621832358675,2.52,3,2.7258360603950433
Бутаковка улица,43.181146999999996,77.074585,1.8415384615384616,2.82,2,2.604328667939377
улица Сарсенбаева,43.257206,76.997681,2.4876923076923076,3.64,1,2.4876923076923076
Кульджинский тракт,43.3251745,77.03613250000001,1.6492222222222221,2.22,2,2.332352434033761
улица Дулати,43.181146,76.887817,1.6300427350427351,2.3,2,2.30522854314517
улица Майлина,43.289202,77.069092,1.6141880341880341,2.49,2,2.282806610169083
улица Чехова,43.285203,77.0581055,1.5806837606837607,1.99,2,2.235424412181882
улица Гоголя,43.273206,76.9592285,1.559730955035303,2.65,2,2.205792670264066
улица Саина,43.329174,76.832886,2.195128205128205,3.12,1,2.195128205128205
улица Альмерека Абыза,43.277205,76.832886,1.5289309764309764,2.2,2,2.162234922801026
улица Альмерек,43.177141,76.882324,1.5153418803418803,1.8,2,2.143017038811435
улица Талды,43.173135,76.937256,1.5106410256410259,1.75,2,2.136369026338741
проспект Алтынсарина,43.281204,76.854858,1.502991452991453,2.2,2,2.1255508969513572
улица Хмельницкого,43.297198,77.008667,2.0774358974358975,3.43,1,2.0774358974358975
